BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,11,S,3056.25,79462.5
XE,A00,12,S,3269.25,85000.5
XE,A00,13,S,3502.5,91065.0
XE,A00,14,S,3762.0,97812.0
XE,A00,15,S,4031.25,104812.5
XE,A00,16,S,4323.0,112398.0
XE,A00,17,S,4621.5,120159.0
XE,A00,18,S,4949.25,128680.5
XE,A00,19,S,5286.75,137455.5
XE,A00,20,S,5650.5,146913.0
XE,A00,21,S,6033.75,156877.5
XE,A00,22,S,6452.25,167758.5
XE,A00,23,S,6918.75,179887.5
XE,A00,24,S,7389.75,192133.5
XE,A00,25,S,7941.0,206466.0
XE,A00,26,S,8226.0,213876.0
XE,A00,27,S,8535.0,221910.0
XE,A00,28,S,8833.5,229671.0
XE,A00,29,S,9147.0,237822.0
XE,A00,30,S,9468.75,246187.5
XE,A00,5,T,2199.0,57174.0
XE,A00,6,T,2331.0,60606.0
XE,A00,7,T,2481.0,64506.0
XE,A00,8,T,2628.0,68328.0
XE,A00,9,T,2790.75,72559.5
XE,A00,10,T,2957.25,76888.5
XE,A00,11,T,3155.25,82036.5
XE,A00,12,T,3375.75,87769.5
XE,A00,13,T,3616.5,94029.0
XE,A00,14,T,3884.25,100990.5
XE,A00,15,T,4162.5,108225.0
XE,A00,16,T,4463.25,116044.5
XE,A00,17,T,4771.5,124059.0
XE,A00,18,T,5109.75,132853.5
XE,A00,19,T,5458.5,141921.0
XE,A00,20,T,5834.25,151690.5
XE,A00,21,T,6229.5,161967.0
XE,A00,22,T,6662.25,173218.5
XE,A00,23,T,7143.75,185737.5
XE,A00,24,T,7629.75,198373.5
XE,A00,25,T,8199.0,213174.0
XE,A00,26,T,8493.0,220818.0
XE,A00,27,T,8812.5,229125.0
XE,A00,28,T,9120.75,237139.5
XE,A00,29,T,9444.0,245544.0
XE,A00,30,T,9776.25,254182.5
XE,A00,5,U,2270.25,59026.5
XE,A00,6,U,2406.75,62575.5
XE,A00,7,U,2562.0,66612.0
XE,A00,8,U,2713.5,70551.0
XE,A00,9,U,2881.5,74919.0
XE,A00,10,U,3053.25,79384.5
XE,A00,11,U,3258.0,84708.0
XE,A00,12,U,3485.25,90616.5
XE,A00,13,U,3734.25,97090.5
XE,A00,14,U,4010.25,104266.5
XE,A00,15,U,4297.5,111735.0
XE,A00,16,U,4608.0,119808.0
XE,A00,17,U,4926.75,128095.5
XE,A00,18,U,5275.5,137163.0
XE,A00,19,U,5636.25,146542.5
XE,A00,20,U,6024.0,156624.0
XE,A00,21,U,6432.0,167232.0
XE,A00,22,U,6879.0,178854.0
XE,A00,23,U,7376.25,191782.5
XE,A00,24,U,7878.0,204828.0
XE,A00,25,U,8465.25,220096.5
XE,A00,26,U,8769.0,227994.0
XE,A00,27,U,9099.0,236574.0
XE,A00,28,U,9417.0,244842.0
XE,A00,29,U,9750.75,253519.5
XE,A00,30,U,10094.25,262450.5
XE,A00,5,V,2343.75,60937.5
XE,A00,6,V,2484.75,64603.5
XE,A00,7,V,2645.25,68776.5
XE,A00,8,V,2802.0,72852.0
XE,A00,9,V,2975.25,77356.5
XE,A00,10,V,3152.25,81958.5
XE,A00,11,V,3363.75,87457.5
XE,A00,12,V,3598.5,93561.0
XE,A00,13,V,3855.75,100249.5
XE,A00,14,V,4140.75,107659.5
XE,A00,15,V,4437.0,115362.0
XE,A00,16,V,4758.0,123708.0
XE,A00,17,V,5086.5,132249.0
XE,A00,18,V,5447.25,141628.5
XE,A00,19,V,5819.25,151300.5
XE,A00,20,V,6219.75,161713.5
XE,A00,21,V,6641.25,172672.5
XE,A00,22,V,7102.5,184665.0
XE,A00,23,V,7616.25,198022.5
XE,A00,24,V,8133.75,211477.5
XE,A00,25,V,8740.5,227253.0
XE,A00,26,V,9054.0,235404.0
XE,A00,27,V,9394.5,244257.0
XE,A00,28,V,9723.0,252798.0
XE,A00,29,V,10068.0,261768.0
XE,A00,30,V,10422.0,270972.0
XE,A00,5,W,2420.25,62926.5
XE,A00,6,W,2565.75,66709.5
XE,A00,7,W,2731.5,71019.0
XE,A00,8,W,2892.75,75211.5
XE,A00,9,W,3072.0,79872.0
XE,A00,10,W,3255.0,84630.0
XE,A00,11,W,3473.25,90304.5
XE,A00,12,W,3715.5,96603.0
XE,A00,13,W,3981.0,103506.0
XE,A00,14,W,4275.0,111150.0
XE,A00,15,W,4581.0,119106.0
XE,A00,16,W,4912.5,127725.0
XE,A00,17,W,5251.5,136539.0
XE,A00,18,W,5624.25,146230.5
XE,A00,19,W,6008.25,156214.5
XE,A00,20,W,6422.25,166978.5
XE,A00,21,W,6857.25,178288.5
XE,A00,22,W,7333.5,190671.0
XE,A00,23,W,7863.75,204457.5
XE,A00,24,W,8397.75,218341.5
XE,A00,25,W,9024.75,234643.5
XE,A00,26,W,9348.0,243048.0
XE,A00,27,W,9699.75,252193.5
XE,A00,28,W,10038.75,261007.5
XE,A00,29,W,10395.0,270270.0
XE,A00,30,W,10761.0,279786.0
XE,A00,5,X,2499.0,64974.0
XE,A00,6,X,2649.0,68874.0
XE,A00,7,X,2820.0,73320.0
XE,A00,8,X,2986.5,77649.0
XE,A00,9,X,3171.75,82465.5
XE,A00,10,X,3360.75,87379.5
XE,A00,11,X,3586.5,93249.0
XE,A00,12,X,3836.25,99742.5
XE,A00,13,X,4110.75,106879.5
XE,A00,14,X,4413.75,114757.5
XE,A00,15,X,4730.25,122986.5
XE,A00,16,X,5072.25,131878.5
XE,A00,17,X,5422.5,140985.0
XE,A00,18,X,5807.25,150988.5
XE,A00,19,X,6203.25,161284.5
XE,A00,20,X,6630.75,172399.5
XE,A00,21,X,7080.0,184080.0
XE,A00,22,X,7572.0,196872.0
XE,A00,23,X,8119.5,211107.0
XE,A00,24,X,8670.75,225439.5
XE,A00,25,X,9318.0,242268.0
XE,A00,26,X,9651.75,250945.5
XE,A00,27,X,10014.75,260383.5
XE,A00,28,X,10365.0,269490.0
XE,A00,29,X,10732.5,279045.0
XE,A00,30,X,11110.5,288873.0
XE,A00,5,Y,2580.0,67080.0
XE,A00,6,Y,2735.25,71116.5
XE,A00,7,Y,2911.5,75699.0
XE,A00,8,Y,3083.25,80164.5
XE,A00,9,Y,3274.5,85137.0
XE,A00,10,Y,3470.25,90226.5
XE,A00,11,Y,3702.75,96271.5
XE,A00,12,Y,3960.75,102979.5
XE,A00,13,Y,4244.25,110350.5
XE,A00,14,Y,4557.0,118482.0
XE,A00,15,Y,4884.0,126984.0
XE,A00,16,Y,5237.25,136168.5
XE,A00,17,Y,5598.75,145567.5
XE,A00,18,Y,5996.25,155902.5
XE,A00,19,Y,6405.0,166530.0
XE,A00,20,Y,6846.0,177996.0
XE,A00,21,Y,7310.25,190066.5
XE,A00,22,Y,7818.0,203268.0
XE,A00,23,Y,8383.5,217971.0
XE,A00,24,Y,8952.75,232771.5
XE,A00,25,Y,9621.0,250146.0
XE,A00,26,Y,9965.25,259096.5
XE,A00,27,Y,10340.25,268846.5
XE,A00,28,Y,10701.75,278245.5
XE,A00,29,Y,11081.25,288112.5
XE,A00,30,Y,11471.25,298252.5
XE,A00,5,Z,2664.0,69264.0
XE,A00,6,Z,2824.5,73437.0
XE,A00,7,Z,3006.0,78156.0
XE,A00,8,Z,3183.75,82777.5
XE,A00,9,Z,3381.0,87906.0
XE,A00,10,Z,3582.75,93151.5
XE,A00,11,Z,3822.75,99391.5
XE,A00,12,Z,4089.75,106333.5
XE,A00,13,Z,4382.25,113938.5
XE,A00,14,Z,4704.75,122323.5
XE,A00,15,Z,5043.0,131118.0
XE,A00,16,Z,5407.5,140595.0
XE,A00,17,Z,5781.0,150306.0
XE,A00,18,Z,6191.25,160972.5
XE,A00,19,Z,6613.5,171951.0
XE,A00,20,Z,7068.75,183787.5
XE,A00,21,Z,7548.0,196248.0
XE,A00,22,Z,8072.25,209878.5
XE,A00,23,Z,8655.75,225049.5
XE,A00,24,Z,9243.75,240337.5
XE,A00,25,Z,9933.75,258277.5
XE,A00,26,Z,10289.25,267520.5
XE,A00,27,Z,10676.25,277582.5
